Gmt time,Open,High,Low,Close,Volume
2023-11-02 16:00:00,217.466,218.087,216.886,217.797,3.23
2023-11-02 16:15:00,217.807,217.986,216.597,216.966,3.03
2023-11-02 16:30:00,216.957,217.637,216.356,217.567,3.0
2023-11-02 16:45:00,217.576,217.777,216.746,216.776,2.6
2023-11-02 17:00:00,216.796,217.406,216.357,217.196,2.48
2023-11-02 17:15:00,217.226,217.247,216.107,216.896,2.28
2023-11-02 17:30:00,216.937,217.397,216.586,217.287,2.3
2023-11-02 17:45:00,217.297,217.737,217.106,217.727,2.22
2023-11-02 18:00:00,217.736,217.747,217.036,217.336,2.38
2023-11-02 18:15:00,217.356,218.617,217.356,218.187,2.31
2023-11-02 18:30:00,218.217,218.756,217.907,218.537,2.42
2023-11-02 18:45:00,218.517,219.167,218.146,219.106,2.14
2023-11-02 19:00:00,219.117,219.146,218.097,218.496,2.6
2023-11-02 19:15:00,218.496,218.696,217.656,217.687,3.35
2023-11-02 19:30:00,217.656,218.417,217.216,217.636,3.39
2023-11-02 19:45:00,217.596,218.557,217.196,218.497,4.48
2023-11-03 13:30:00,221.147,223.186,220.516,222.916,6.79
2023-11-03 13:45:00,222.937,226.326,222.886,225.076,6.59
2023-11-03 14:00:00,225.036,225.647,223.286,223.407,6.49
2023-11-03 14:15:00,223.406,224.427,221.496,222.496,6.63
2023-11-03 14:30:00,222.567,222.766,221.196,221.747,5.6
2023-11-03 14:45:00,221.756,222.967,220.846,221.757,5.36
2023-11-03 15:00:00,221.756,221.787,219.846,220.176,5.07
